,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
23,8,1,178,447,20682.647999999997,4125.96,8949.412,178.0,447.0,222.0,-8822300284077256956,3946.97176,8660.5948
25,8,1,501,446,18199.944,6777.600000000001,6141.216000000001,501.0,446.0,127.0,-8822300284190266709,6654.775680000002,5666.7840000000015
26,8,1,235,444,18257.176,6795.5599999999995,6237.164,235.0,444.0,209.0,-8822300284062111319,6670.81672,5761.4748
27,8,1,205,444,318.80799999999994,15550.52,18049.648,205.0,444.0,74.0,-8822300284240363816,15189.52704,16961.1116
28,8,1,530,498,22357.719999999998,4469.12,10063.184000000001,530.0,498.0,164.0,-8822300283972402546,4267.85632,9750.3456
29,8,1,558,498,1385.4399999999996,1350.2,21799.644,558.0,498.0,139.0,-8822300284017839457,914.20712,21705.13
31,8,1,383,548,282.23999999999995,15429.520000000002,18338.648,383.0,548.0,143.0,-8822300284022499653,15062.747040000002,17258.5816
32,8,1,321,576,275.5760000000001,15889.359999999997,18844.568,321.0,576.0,55.0,-8822300284106383181,15512.468639999997,17732.3128
33,8,1,382,575,19756.912,3985.64,8788.252,382.0,575.0,7.0,-8822300284162305533,3809.87496,8509.2572
34,8,1,468,574,286.99999999999994,15738.119999999999,18734.067999999996,468.0,574.0,178.0,-8822300283951431664,15363.438639999998,17632.399599999997
36,8,1,29,574,19703.488,3888.7199999999993,8612.947999999999,29.0,574.0,89.0,-8822300284220557983,3716.4610399999992,8340.737599999999
37,8,1,646,574,238.55999999999992,16278.08,19307.987999999998,646.0,574.0,250.0,-8822300284035315192,15891.92024,18168.522399999998
40,8,1,352,550,17960.095999999998,6684.6,6235.328,352.0,550.0,110.0,-8822300284207742444,6559.893440000001,5767.406
41,8,1,234,550,1441.5519999999997,1366.7200000000003,21315.007999999998,234.0,550.0,2.0,-8822300284156480288,940.4198400000002,21219.3376
42,8,1,501,548,18237.184,6794.799999999998,6333.724,501.0,548.0,207.0,-8822300284097062789,6668.125519999999,5858.088000000001
43,8,1,323,548,23233.112,4639.5199999999995,10508.991999999998,323.0,548.0,6.0,-8822300284161140484,4429.34016,10184.225599999998
45,8,1,146,547,19151.16,7184.6,6552.276000000001,146.0,547.0,51.0,-8822300284101722985,7053.554480000001,6049.354
46,8,1,440,546,300.21599999999995,16028.039999999995,19171.308,440.0,546.0,105.0,-8822300284201917199,15644.613839999995,18049.3452
48,8,1,618,527,21579.991999999995,4290.68,9624.447999999999,618.0,527.0,113.0,-8822300284173956023,4098.191040000001,9324.1004
49,8,1,502,526,22235.359999999997,4400.96,9914.060000000003,502.0,526.0,207.0,-8822300284097062789,4202.6788,9605.992800000004
53,8,1,852,523,439.48800000000006,15102.48,17456.143999999997,852.0,523.0,120.0,-8822300284182111366,14753.357119999999,16398.9704
55,8,1,528,522,18168.528000000002,6766.92,6320.6,528.0,522.0,164.0,-8822300283972402546,6640.508,5846.9156
56,8,1,413,522,271.59999999999997,15945.000000000004,18890.74,413.0,522.0,270.0,-8822300284468713420,15567.185200000004,17774.59
57,8,1,912,441,198.96799999999993,15102.800000000001,18019.388,912.0,441.0,223.0,-8822300284078422005,14742.412240000001,16962.192
