,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
33,8,1,382,575,19756.912,3985.64,8788.252,382.0,575.0,7.0,-8822300284162305533,3809.87496,8509.2572,-0.4971634582011999,-0.46943225557649315,2,PAO1_OD04_2,"[15, 5, 30]"
34,8,1,468,574,286.99999999999994,15738.12,18734.068,468.0,574.0,178.0,-8822300283951431664,15363.438639999997,17632.399599999993,0.4529793562461517,0.059549036825171764,0,LB3,"[30, 20, 0]"
36,8,1,29,574,19703.488,3888.719999999999,8612.947999999999,29.0,574.0,89.0,-8822300284220557983,3716.461039999999,8340.737599999999,-0.5033589840550122,-0.4747759899185858,2,PAO1_OD04_2,"[15, 5, 30]"
37,8,1,646,574,238.55999999999992,16278.08,19307.988,646.0,574.0,250.0,-8822300284035315192,15891.920240000001,18168.5224,0.4563794581520811,0.05941986655971171,0,LB3,"[30, 20, 0]"
40,8,1,352,550,17960.095999999998,6684.6,6235.328,352.0,550.0,110.0,-8822300284207742444,6559.893440000002,5767.406,-0.37640088869919663,-0.61915470668811,7,PAO1_OD04_1,"[10, 10, 30]"
41,8,1,234,550,1441.5519999999995,1366.7200000000005,21315.008,234.0,550.0,2.0,-8822300284156480288,940.4198400000002,21219.3376,-0.02123323543865198,0.7981491793024854,4,LB4,"[45, 0, 5]"
42,8,1,501,548,18237.183999999997,6794.799999999997,6333.724,501.0,548.0,207.0,-8822300284097062789,6668.125519999999,5858.088000000002,-0.3760656953601658,-0.6191520786225565,7,PAO1_OD04_1,"[10, 10, 30]"
43,8,1,323,548,23233.112,4639.52,10508.991999999998,323.0,548.0,6.0,-8822300284161140484,4429.34016,10184.225599999998,-0.4968407520269489,-0.46181666646768843,2,PAO1_OD04_2,"[15, 5, 30]"
45,8,1,146,547,19151.16,7184.6,6552.276000000002,146.0,547.0,51.0,-8822300284101722985,7053.554480000002,6049.354,-0.3750722339881384,-0.6248935848976036,7,PAO1_OD04_1,"[10, 10, 30]"
46,8,1,440,546,300.21599999999995,16028.039999999995,19171.308,440.0,546.0,105.0,-8822300284201917199,15644.613839999995,18049.3452,0.4513831508470104,0.06190811683247743,0,LB3,"[30, 20, 0]"
48,8,1,618,527,21579.991999999995,4290.68,9624.448,618.0,527.0,113.0,-8822300284173956023,4098.1910400000015,9324.1004,-0.49944744290659904,-0.46722902144466494,2,PAO1_OD04_2,"[15, 5, 30]"
49,8,1,502,526,22235.36,4400.96,9914.060000000003,502.0,526.0,207.0,-8822300284097062789,4202.6788,9605.992800000004,-0.5002958991968035,-0.46698566316871154,2,PAO1_OD04_2,"[15, 5, 30]"
53,8,1,852,523,439.48800000000006,15102.48,17456.143999999997,852.0,523.0,120.0,-8822300284182111366,14753.35712,16398.9704,0.4530878926834149,0.03817840982378584,0,LB3,"[30, 20, 0]"
55,8,1,528,522,18168.528,6766.92,6320.6,528.0,522.0,164.0,-8822300283972402546,6640.508000000001,5846.9156,-0.37604508744070425,-0.6185461357526413,7,PAO1_OD04_1,"[10, 10, 30]"
56,8,1,413,522,271.6,15945.000000000005,18890.74,413.0,522.0,270.0,-8822300284468713420,15567.185200000005,17774.59,0.4550446097421363,0.057590313037055474,0,LB3,"[30, 20, 0]"
57,8,1,912,441,198.96799999999996,15102.8,18019.388,912.0,441.0,223.0,-8822300284078422005,14742.41224,16962.192,0.4558562950441565,0.06334123792778135,0,LB3,"[30, 20, 0]"
58,8,1,324,422,17467.856,6707.159999999999,6090.2840000000015,324.0,422.0,112.0,-8822300284172790974,6585.354319999999,5620.782800000001,-0.3667353306982233,-0.6211643793762529,7,PAO1_OD04_1,"[10, 10, 30]"
59,8,1,618,579,20969.088000000007,4192.280000000002,9441.188,618.0,579.0,259.0,-8822300284455897881,4003.45624,9147.7284,-0.49723025190926506,-0.4637951169665685,2,PAO1_OD04_2,"[15, 5, 30]"
60,8,1,207,421,5441.856,6039.440000000001,10925.764,207.0,421.0,74.0,-8822300284240363816,5820.924720000001,10503.0032,0.0174158082885168,-0.034906967871800865,6,LB2,"[25, 10, 15]"
